source,n_pairs,delta_named_haves,delta_used_constants,delta_tokens,human_explicit_uses_per_claim,human_zero_uptake_share,human_long_horizon_share,ai_explicit_uses_per_claim,ai_zero_uptake_share,ai_long_horizon_share
amc_aime,362,1.0,-19.0,0.0,1.675422138836773,0.16604127579737335,0.46153846153846156,0.9208351457155285,0.3023053501522401,0.4741191822531535
aops_forum,162,0.5,0.0,29.5,1.3568075117370892,0.36619718309859156,0.4162754303599374,0.777542372881356,0.4692796610169492,0.3209745762711864
cn_contest,137,1.0,0.0,17.0,1.1486033519553072,0.24022346368715083,0.49385474860335193,0.7992932862190812,0.3971731448763251,0.41130742049469965
cn_k12,283,2.0,-20.0,23.0,1.3515541264737405,0.10396570203644159,0.5444801714898178,0.8046728971962617,0.35841121495327105,0.3920560747663551
inequalities,40,0.0,0.0,13.5,0.978448275862069,0.34051724137931033,0.44396551724137934,0.5882352941176471,0.5386996904024768,0.29102167182662536
math_test,491,0.0,-10.0,1.0,1.5918918918918918,0.12905405405405404,0.5216216216216216,0.891880695940348,0.30778790389395194,0.4511184755592378
math_train,612,0.0,0.0,2.5,1.5384615384615385,0.1346153846153846,0.5009615384615385,0.8990283058724123,0.30587241233629064,0.44740177439797213
number_theory,162,0.0,0.0,2.0,1.4528301886792452,0.1069182389937107,0.46540880503144655,0.886654478976234,0.33089579524680074,0.42047531992687387
olympiads,909,2.0,-6.0,18.0,1.3260389849209269,0.27785950717175434,0.457153365207797,0.8731222306279045,0.39122446774019237,0.4054901113152491
olympiads_ref,367,0.0,-43.0,0.0,1.6883040935672515,0.22339181286549709,0.4625730994152047,0.8800465838509317,0.36257763975155277,0.4045031055900621
secondary_math,93,1.0,-3.0,29.0,1.2330743618201998,0.30410654827968925,0.4772475027746948,0.8624620060790273,0.3533434650455927,0.446048632218845
unknown,12,2.0,-12.0,21.5,1.4545454545454546,0.22727272727272727,0.5,0.6764705882352942,0.39705882352941174,0.39705882352941174
